51 | 1 | 1 | 2026-05-28 | 360.00 | COMBUSTIVEL FIM MES 5 | APROVADA
52 | 2 | 2 | 2025-01-10 | 3500.00 | IPVA 2025 | APROVADA
53 | 3 | 1 | 2025-01-15 | 290.00 | COMBUSTIVEL MES 1 | APROVADA
54 | 4 | 4 | 2025-02-05 | 1300.00 | MANUTENCAO CORRETIVA | APROVADA
55 | 5 | 3 | 2025-02-10 | 280.00 | MULTA ESTACIONAMENTO PROIBIDO | APROVADA
56 | 6 | 5 | 2025-02-18 | 1800.00 | SEGURO ANUAL | APROVADA
57 | 7 | 1 | 2025-03-05 | 410.00 | COMBUSTIVEL MES 3 | APROVADA
58 | 8 | 8 | 2025-03-12 | 850.00 | TROCA 2 PNEUS TRASEIROS | APROVADA
59 | 9 | 1 | 2025-04-08 | 375.00 | COMBUSTIVEL MES 4 | APROVADA
60 | 10 | 6 | 2025-04-15 | 180.00 | LICENCIAMENTO ANUAL | APROVADA
61 | 11 | 7 | 2025-04-20 | 88.00 | LAVAGEM COMPLETA | APROVADA
62 | 12 | 1 | 2025-05-05 | 395.00 | COMBUSTIVEL MES 5 | APROVADA
63 | 13 | 4 | 2025-05-12 | 1650.00 | REVISAO 45000KM | APROVADA
64 | 14 | 3 | 2025-05-18 | 195.00 | MULTA VELOCIDADE | APROVADA
65 | 15 | 1 | 2025-06-04 | 350.00 | COMBUSTIVEL MES 6 | APROVADA
66 | 16 | 9 | 2025-06-10 | 55.00 | PEDAGIO VIAGEM SP | APROVADA
67 | 17 | 2 | 2025-06-18 | 4100.00 | IPVA 2025 | APROVADA
68 | 18 | 1 | 2025-07-03 | 380.00 | COMBUSTIVEL MES 7 | APROVADA
69 | 19 | 5 | 2025-07-10 | 2050.00 | SEGURO ANUAL | APROVADA
70 | 20 | 4 | 2025-07-18 | 700.00 | TROCA VELAS IGNICAO | APROVADA
71 | 21 | 1 | 2025-08-05 | 320.00 | COMBUSTIVEL MES 8 | APROVADA
72 | 22 | 8 | 2025-08-12 | 1750.00 | TROCA 4 PNEUS | APROVADA
73 | 23 | 7 | 2025-08-18 | 92.00 | LAVAGEM COMPLETA | APROVADA
74 | 24 | 1 | 2025-09-04 | 405.00 | COMBUSTIVEL MES 9 | APROVADA
75 | 25 | 3 | 2025-09-10 | 350.00 | MULTA SEMAFORO VERMELHO | APROVADA
76 | 26 | 6 | 2025-09-18 | 180.00 | LICENCIAMENTO ANUAL | APROVADA
77 | 27 | 1 | 2025-10-03 | 370.00 | COMBUSTIVEL MES 10 | APROVADA
78 | 28 | 10 | 2025-10-10 | 2800.00 | REVISAO COMPLETA 80000KM | APROVADA
79 | 29 | 9 | 2025-10-18 | 65.00 | PEDAGIO VIAGEM RJ | APROVADA
80 | 30 | 1 | 2025-11-05 | 345.00 | COMBUSTIVEL MES 11 | APROVADA
81 | 31 | 4 | 2025-11-12 | 1400.00 | TROCA CAIXA DE DIRECAO | APROVADA
82 | 32 | 5 | 2025-11-18 | 1950.00 | SEGURO ANUAL | APROVADA
83 | 33 | 1 | 2025-12-03 | 390.00 | COMBUSTIVEL MES 12 | APROVADA
84 | 34 | 3 | 2025-12-08 | 250.00 | MULTA VELOCIDADE RADAR | APROVADA
85 | 35 | 7 | 2025-12-12 | 98.00 | LAVAGEM COMPLETA | APROVADA
86 | 36 | 2 | 2025-12-15 | 3900.00 | IPVA 2025 | APROVADA
87 | 37 | 8 | 2025-12-18 | 920.00 | TROCA 2 PNEUS DIANTEIROS | APROVADA
88 | 38 | 1 | 2025-12-20 | 310.00 | COMBUSTIVEL FIM ANO | APROVADA
89 | 39 | 4 | 2025-12-22 | 550.00 | TROCA BATERIA | APROVADA
90 | 40 | 9 | 2025-12-28 | 80.00 | PEDAGIO VIAGEM MG | APROVADA
91 | 41 | 1 | 2026-01-28 | 445.00 | COMBUSTIVEL FIM MES 1 | APROVADA
92 | 42 | 3 | 2026-02-28 | 175.00 | MULTA FAIXA EXCLUSIVA | APROVADA
93 | 43 | 4 | 2026-03-28 | 1250.00 | MANUTENCAO PREVENTIVA | APROVADA
94 | 44 | 2 | 2026-04-28 | 4500.00 | IPVA 2026 | APROVADA
95 | 45 | 5 | 2026-03-15 | 2250.00 | SEGURO ANUAL | APROVADA
96 | 46 | 10 | 2026-02-15 | 2900.00 | REVISAO COMPLETA 120000KM | APROVADA
97 | 47 | 7 | 2026-04-15 | 100.00 | LAVAGEM COMPLETA | APROVADA
98 | 48 | 9 | 2026-05-15 | 70.00 | PEDAGIO VIAGEM BA | APROVADA
99 | 49 | 8 | 2026-01-28 | 1900.00 | TROCA 4 PNEUS | APROVADA
100 | 50 | 6 | 2026-02-28 | 180.00 | LICENCIAMENTO ANUAL | APROVADA
108 | 1 | 6 | 2026-06-07 | 234.99 | Licencimento do veiculo | APROVADA
109 | 54 | 5 | 2026-06-07 | 9000.00 | Seguro de veículo esportivo | APROVADA
110 | 55 | 5 | 2026-06-07 | 10000.00 | Seguro | APROVADA
111 | 53 | 3 | 2026-06-07 | 134.19 | Excesso de Velocidade | APROVADA
112 | 56 | 4 | 2026-04-05 | 223.99 | Troca de oleo e revisão | APROVADA
